CAS,Chemical_Name,Percentage,Physical_State,AlphaTec_02-100,AlphaTec_Solvex_37-675,AlphaTec_38-001,AlphaTec_39-122.124,AlphaTec_53-002.003,AlphaTec_58-270,AlphaTec_58-530.535,DermaShield_73-701.711.721,TouchNTuff_92-600.605.93-300.700,MICROFLEX_93-260.360
7664-39-3,HF,10.0,L,>480,240-480,>480,60-120,>480,120-240,240-480,>480,10-30,60-120
110-54-3,Hexane,100.0,L,>480,>480,<10,>480,>480,>480,>480,10-30,>480,>480
7647-01-0,HCl,100.0,G,280,120-240,240-480,10-30,240-480,10-30,30-60,30-60,<10,60-120
57-55-6,Glicole propilenico,100.0,L,>480,>480,>480,>480,>480,>480,>480,240-480,>480,>480
8014-95-7,Fuming sulfuric acid,20.0,L,240-480,10-30,60-120,<10,120-240,10-30,<10,30-60,<10,10-30
96-48-0,Gamma-butirrolattone,100.0,L,>480,10-30,>480,<10,>480,<10,10-30,30-60,<10,<10
56-81-5,Glicerina,100.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
76-13-1,Freon 113,100.0,L,240-480,240-480,<10,60-120,10-30,60-120,120-240,10-30,10-30,120-240
50-00-0,Formalin,37.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
50-00-0,Formaldeide,10.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
62-53-3,fenilammina,100.0,L,>480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,10-30
108-95-2,Fenolo (90%),90.0,L,>480,64,>480,10-30,>480,10-30,78,10-30,<10,10-30
108-88-3,fenilmetano,100.0,L,>480,23,<10,<5,>480,<10,19,1,<10,6
78-93-3,Ethyl Methyl Ketone,100.0,L,>480,5,136,1,>480,<10,7,1,<10,3
107-07-3,Ethylene Chlorohydrin,100.0,L,>480,10-30,240-480,<10,>480,<10,<10,60-120,<10,30-60
110-80-5,ETHYLENE GLYCOL MONOETHYL ETHER,100.0,L,>480,120-240,>480,30-60,>480,30-60,60-120,30-60,<10,30-60
100-41-4,ETHYLBENZOL,100.0,L,>480,10-30,<10,<10,>480,<10,23,<10,<10,<10
107-12-0,Ethyl Cyanide,100.0,L,>480,10-30,>480,<10,>480,<10,<10,10-30,<10,10-30
107-21-1,Ethane-1,2-Diol,100.0,L,>480,>480,>480,>480,>480,>480,>480,240-480,>480,>480
64-19-7,Ethanoic acid,100.0,L,228,102,>480,27,>480,25,42,67,8,30
75-08-1,Etantiolo,100.0,L,10-30,10-30,<10,<10,10-30,<10,<10,<10,<10,<10
100-42-5,etenilbenzene,100.0,L,>480,24,10-30,8,>480,<10,19,<10,<10,<10
75-07-0,Etanale Aldeide acetica Aldeide etilica,100.0,L,240-480,<10,>480,<10,240-480,<10,<10,<10,<10,<10
141-78-6,Estere etilico di acido acetico,100.0,L,>480,18,77,<5,>480,<10,15,<10,<10,5
64-19-7,Essigsäure,50.0,L,>480,240-480,>480,120-240,>480,120-240,240-480,240-480,60-120,120-240
999-97-3,Esametildisilazano,100.0,L,>480,>480,240-480,240-480,120-240,240-480,240-480,10-30,60-120,>480
592-41-6,Esene,100.0,L,>480,>480,<10,>480,>480,>480,>480,10-30,>480,>480
111-15-9,EGEEA,100.0,L,>480,60-120,>480,10-30,>480,10-30,30-60,10-30,<10,30-60
110-82-7,Esaidrobenzene,100.0,L,>480,>480,10-30,>480,>480,>480,>480,7,>480,30-60
106-89-8,Epicloridrina (99%),100.0,L,>480,<10,>480,<10,60-120,<10,<10,<10,<10,<10
7681-52-9,eau de javel,15.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
108-65-6,Dowanol PMA,100.0,L,>480,132,>480,30-60,>480,30-60,60-120,<10,<10,10-30
107-98-2,Dowanol PM,100.0,L,>480,236,>480,13,>480,30-60,60-120,60-120,10-30,60-120
111-76-2,Dowanol EB,100.0,L,>480,240-480,>480,60-120,>480,60-120,120-240,60-120,10-30,60-120
142-82-5,DIPROPIL METANO,100.0,L,>480,>480,<10,>480,>480,>480,>480,10-30,>480,>480
64742-47-8,Distillati (petrolio) frazione leggera idrotrattata,100.0,L,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
75-15-0,Disolfuro di carbonio,100.0,L,>480,12,<10,<5,>480,<10,<10,<10,<10,1
7722-84-1,diossido di idrogeno,30.0,L,>480,>480,>480,>480,>480,>480,>480,>480,72,446
7681-49-4,DISODIO DIFLUORURO,4.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
123-91-1,Diossano,100.0,L,>480,10-30,>480,<10,>480,<10,10-30,<10,<10,10-30
67-63-0,dimetile carbinolo,100.0,L,>480,>480,>480,>480,>480,>480,>480,234,175,380
124-40-3,Dimetilammina (40% p/p),50.0,L,>480,120-240,>480,60-120,>480,60-120,120-240,30-60,30-60,60-120
624-49-7,dimetilfumarato,100.0,S,>480,>480,>480,>480,>480,>480,>480,240-480,240-480,>480
68-12-2,Dimetilformammide,100.0,L,>480,<5,>480,<10,222,<10,18,<10,<10,9
